,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
699,2007.0,2.0,,1.0,,9235.0,2285.0,2.0,4.0,2.0,-78.811522,35.95215,350000
701,1985.0,2.0,,,,20038.0,1200.0,,3.0,1.0,-78.925538,35.960562,229900
703,1969.0,2.0,,,,9148.0,1600.0,,3.0,1.0,-78.886267,35.963353,229000
710,1955.0,2.0,,,,7449.0,1473.0,,2.0,2.0,-78.902537,36.018079,275000
719,1972.0,3.0,,,,20038.0,2600.0,,3.0,,-78.933425,36.081396,325000
721,2020.0,2.0,,,,6403.0,2970.0,2.0,2.0,1.0,-78.779792,35.934588,572155
722,2020.0,2.0,,,,6839.0,2035.0,2.0,2.0,1.0,-78.77755,35.934309,553500
725,2011.0,7.0,,2.0,,283140.0,9582.0,3.0,5.0,3.0,-78.960585,35.950595,3850000
726,2021.0,2.0,,1.0,,5227.0,1848.0,2.0,3.0,2.0,-78.890775,35.998781,565000
727,2019.0,2.0,,1.0,,2178.0,2675.0,2.0,3.0,3.0,-78.908891,35.98726,825000
728,2021.0,2.0,,1.0,,24829.0,2627.0,2.0,4.0,2.0,-78.940105,35.957359,599900
729,2020.0,2.0,,1.0,,6142.0,2118.0,2.0,3.0,1.0,-78.791036,35.943911,428430
730,2020.0,3.0,,,,5750.0,2460.0,2.0,3.0,2.0,-78.790877,35.944154,434590
731,2020.0,2.0,,,,5663.0,1659.0,,3.0,1.0,-78.905777,35.971591,329900
732,2020.0,2.0,,,,16117.0,1416.0,2.0,3.0,1.0,-78.86392,35.973999,235000
733,1959.0,2.0,,,,48787.0,1527.0,2.0,3.0,2.0,-78.961408,35.951664,275000
737,2008.0,6.0,,2.0,,134731.0,11409.0,4.0,5.0,2.0,-78.954753,35.949073,4200000
738,1920.0,2.0,,,,11238.0,2710.0,,4.0,1.0,-78.909161,36.005202,799000
739,2020.0,3.0,,,,6098.0,2529.0,2.0,3.0,2.0,-78.79399624,35.952721508,381540
740,2020.0,3.0,,,,8276.0,2529.0,2.0,3.0,2.0,-78.79395332,35.952235146,377040
