,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
919,355900,,2.0,,,,1660.0,1660.0,2.0,2.0
920,367900,,2.0,,,,1904.0,1904.0,2.0,2.0
921,416900,,2.0,,1.0,,2131.0,2131.0,2.0,2.0
923,354400,1935.0,2.0,,1.0,,5009.0,1980.0,,3.0
924,357900,,2.0,,,,1760.0,1760.0,2.0,2.0
925,288900,,2.0,,,,1320.0,1320.0,2.0,2.0
931,2570000,2016.0,1.0,,,,1031675.0,727.0,,1.0
944,425000,1910.0,1.0,,,,329401.0,1200.0,,2.0
949,840000,2003.0,5.0,,2.0,,25700.0,5072.0,3.0,6.0
951,284900,1978.0,3.0,,,,54886.0,1994.0,,4.0
954,925000,2020.0,4.0,,1.0,,21344.0,3930.0,3.0,4.0
956,1070000,2019.0,4.0,,1.0,,22651.0,4811.0,3.0,4.0
979,2500000,2004.0,4.0,,2.0,,274515.0,7163.0,3.0,4.0
981,327750,1930.0,2.0,,,,7971.0,1566.0,,3.0
985,468900,1940.0,2.0,,1.0,,4400.0,1800.0,1.0,3.0
991,2900000,1936.0,4.0,,3.0,,135907.0,9085.0,3.0,5.0
993,424999,2020.0,3.0,,1.0,,10019.0,3199.0,2.0,4.0
994,180000,1959.0,1.0,,,,7579.0,884.0,,3.0
